run,backend,source_fingerprint,case,phase,mode,probe_schema,stage,metric,positive_minus_negative_n,positive_minus_negative_median,positive_minus_negative_p95,positive_minus_negative_min,positive_minus_negative_max,first_minus_second_n,first_minus_second_median,first_minus_second_p95,first_minus_second_min,first_minus_second_max,order_kind,positive_ordinal,negative_ordinal,positive_colliders,negative_colliders
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,BuildSide,thread_cycles,8,33487.0,44166.799999999996,-15384,44766,8,33487.0,44166.799999999996,-15384,44766,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,SetActive,elapsed_us,8,9.15,11.16,3.8000000000000003,11.3,8,-9.15,-5.340000000000003,-11.3,-3.8000000000000003,activation,2,1,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,SetActive,thread_cycles,8,19326.0,23583.1,8090,23854,8,-19326.0,-11325.400000000005,-23854,-8090,activation,2,1,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,colliders,elapsed_us,8,6.0,12.249999999999996,-28.400000000000002,15.4,8,6.0,12.249999999999996,-28.400000000000002,15.4,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,colliders,thread_cycles,8,12571.0,15554.899999999998,-30239,16642,8,12571.0,15554.899999999998,-30239,16642,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,newRoot,elapsed_us,8,2.9000000000000004,3.1,1.6,3.1,8,2.9000000000000004,3.1,1.6,3.1,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,newRoot,thread_cycles,8,6113.0,6629.45,3408,6669,8,6113.0,6629.45,3408,6669,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,objects,elapsed_us,8,9.75,13.115,7.0,13.5,8,9.75,13.115,7.0,13.5,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,objects,thread_cycles,8,20538.0,27878.1,15035,28695,8,20538.0,27878.1,15035,28695,build,1,2,15,9
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,1,newRoot,BuildSide,elapsed_us,8,-8.350000000000001,-7.335000000000001,-9.200000000000001,-7.300000000000001,8,8.350000000000001,9.025,7.300000000000001,9.200000000000001,build,2,1,15,9
