run,backend,source_fingerprint,case,phase,mode,probe_schema,span,paired_round_delta_elapsed_us_n,paired_round_delta_elapsed_us_median,paired_round_delta_elapsed_us_p95,paired_round_delta_elapsed_us_min,paired_round_delta_elapsed_us_max,paired_round_delta_thread_cycles_n,paired_round_delta_thread_cycles_median,paired_round_delta_thread_cycles_p95,paired_round_delta_thread_cycles_min,paired_round_delta_thread_cycles_max,elapsed_us_delta_of_medians,elapsed_us_delta_of_medians_percent,thread_cycles_delta_of_medians,thread_cycles_delta_of_medians_percent
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,objects+,1,-10.7,-10.7,-10.7,-10.7,1,-22440.0,-22440.0,-22440,-22440,-10.7,-59.77653631284916,-22440.0,-59.200633161852004
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,objects-,1,7.0,7.0,7.0,7.0,1,14606.0,14606.0,14606,14606,7.0,86.41975308641976,14606.0,83.61575452255553
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,objects_pair,1,-3.6999999999999993,-3.6999999999999993,-3.6999999999999993,-3.6999999999999993,1,-7834.0,-7834.0,-7834,-7834,-3.6999999999999993,-14.230769230769225,-7834.0,-14.147689307063004
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,publishtotal,1,-6.699999999999996,-6.699999999999996,-6.699999999999996,-6.699999999999996,1,-14188.0,-14188.0,-14188,-14188,-6.699999999999996,-16.834170854271346,-14188.0,-16.930989629947856
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,BuildPublish,1,10.299999999999997,10.299999999999997,10.299999999999997,10.299999999999997,1,20786.0,20786.0,20786,20786,10.299999999999997,12.018669778296376,20786.0,11.35356867800239
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,BuildSide+,1,2.099999999999998,2.099999999999998,2.099999999999998,2.099999999999998,1,4330.0,4330.0,4330,4330,2.099999999999998,9.95260663507107,4330.0,9.761266033950267
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,BuildSide-,1,-0.5,-0.5,-0.5,-0.5,1,-956.0,-956.0,-956,-956,-0.5,-5.05050505050505,-956.0,-4.61880374915451
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,BuildSide_pair,1,1.6000000000000014,1.6000000000000014,1.6000000000000014,1.6000000000000014,1,3374.0,3374.0,3374,3374,1.6000000000000014,5.161290322580658,3374.0,5.186221313617279
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,SetActive+,1,12.600000000000001,12.600000000000001,12.600000000000001,12.600000000000001,1,26645.0,26645.0,26645,26645,12.600000000000001,90.00000000000001,26645.0,89.21217397127263
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,SetActive-,1,-6.7,-6.7,-6.7,-6.7,1,-14396.0,-14396.0,-14396,-14396,-6.7,-67.67676767676767,-14396.0,-67.22704772578687
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,SetActive_pair,1,5.900000000000002,5.900000000000002,5.900000000000002,5.900000000000002,1,12249.0,12249.0,12249,12249,5.900000000000002,24.68619246861925,12249.0,23.886039663813108
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,buildtotal,1,2.1000000000000014,2.1000000000000014,2.1000000000000014,2.1000000000000014,1,3489.0,3489.0,3489,3489,2.1000000000000014,4.575163398692816,3489.0,3.514302981466555
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,colliders+,1,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,1,1433.0,1433.0,1433,1433,0.7000000000000002,36.8421052631579,1433.0,33.56758022956197
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,colliders-,1,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,1,363.0,363.0,363,363,0.10000000000000009,10.000000000000009,363.0,15.387876218736762
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,colliders_pair,1,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.8000000000000003,1,1796.0,1796.0,1796,1796,0.8000000000000003,27.586206896551737,1796.0,27.097163548581783
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,newRoot+,1,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,1,255.0,255.0,255,255,-0.2999999999999998,-4.91803278688524,255.0,1.9211934001356124
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,newRoot-,1,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,1,523.0,523.0,523,523,0.2999999999999998,14.999999999999991,523.0,11.679321125502451
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,newRoot_pair,1,0.0,0.0,0.0,0.0,1,778.0,778.0,778,778,0.0,0.0,778.0,4.382851670328436
