run,backend,source_fingerprint,probe_schema,case,phase,stage,metric,order_kind,mode_before,mode_after,positive_minus_negative_before,positive_minus_negative_after,first_minus_second_before,first_minus_second_after,side_difference_sign_reverses,ordinal_difference_sign_agrees
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,SetActive,elapsed_us,activation,0,2,9.0,21.400000000000002,-9.0,21.400000000000002,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,SetActive,thread_cycles,activation,0,2,18804.0,45290.0,-18804.0,45290.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,SetActive,elapsed_us,activation,1,3,10.5,22.8,-10.5,22.8,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,SetActive,thread_cycles,activation,1,3,21920.0,48117.0,-21920.0,48117.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,newRoot,elapsed_us,build,0,1,4.1000000000000005,-2.4000000000000004,4.1000000000000005,2.4000000000000004,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,newRoot,thread_cycles,build,0,1,8714.0,-5302.0,8714.0,5302.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,newRoot,elapsed_us,build,2,3,2.5,-2.5,2.5,2.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,newRoot,thread_cycles,build,2,3,5400.0,-5587.0,5400.0,5587.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,objects,elapsed_us,build,0,1,9.75,-10.8,9.75,10.8,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,objects,thread_cycles,build,0,1,20538.0,-22844.0,20538.0,22844.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,objects,elapsed_us,build,2,3,9.350000000000001,-9.5,9.350000000000001,9.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,objects,thread_cycles,build,2,3,19697.0,-19866.5,19697.0,19866.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,colliders,elapsed_us,build,0,1,6.0,2.75,6.0,-2.75,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,colliders,thread_cycles,build,0,1,12571.0,5815.5,12571.0,-5815.5,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,colliders,elapsed_us,build,2,3,5.9,2.8500000000000005,5.9,-2.8500000000000005,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,colliders,thread_cycles,build,2,3,12560.0,5980.0,12560.0,-5980.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,BuildSide,elapsed_us,build,0,1,15.9,-8.350000000000001,15.9,8.350000000000001,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,BuildSide,thread_cycles,build,0,1,33487.0,-17790.5,33487.0,17790.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,BuildSide,elapsed_us,build,2,3,16.25,-7.700000000000001,16.25,7.700000000000001,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,BuildSide,thread_cycles,build,2,3,34281.0,-16238.0,34281.0,16238.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,SetActive,elapsed_us,activation,0,2,9.15,22.050000000000004,-9.15,22.050000000000004,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,SetActive,thread_cycles,activation,0,2,19326.0,46628.5,-19326.0,46628.5,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,SetActive,elapsed_us,activation,1,3,9.25,22.150000000000002,-9.25,22.150000000000002,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,SetActive,thread_cycles,activation,1,3,19542.5,46878.0,-19542.5,46878.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,newRoot,elapsed_us,build,0,1,2.9000000000000004,-2.9000000000000004,2.9000000000000004,2.9000000000000004,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,newRoot,thread_cycles,build,0,1,6113.0,-6226.5,6113.0,6226.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,newRoot,elapsed_us,build,2,3,2.4000000000000004,-2.6500000000000004,2.4000000000000004,2.6500000000000004,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,measured,newRoot,thread_cycles,build,2,3,5372.5,-5777.0,5372.5,5777.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,elapsed_us,build,0,1,9.200000000000001,-8.200000000000001,9.200000000000001,8.200000000000001,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,thread_cycles,build,0,1,19498.0,-17315.0,19498.0,17315.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,elapsed_us,build,2,3,8.8,-9.8,8.8,9.8,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,thread_cycles,build,2,3,18719.0,-20671.0,18719.0,20671.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,elapsed_us,build,0,1,0.9,-0.8,0.9,0.8,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,thread_cycles,build,0,1,1801.0,-1978.0,1801.0,1978.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,elapsed_us,build,2,3,1.4000000000000001,-1.0,1.4000000000000001,1.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,thread_cycles,build,2,3,3070.0,-2047.0,3070.0,2047.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,elapsed_us,build,0,1,10.8,-9.600000000000001,10.8,9.600000000000001,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,thread_cycles,build,0,1,22638.0,-20234.0,22638.0,20234.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,elapsed_us,build,2,3,10.8,-11.600000000000001,10.8,11.600000000000001,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,thread_cycles,build,2,3,22860.0,-24398.0,22860.0,24398.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,elapsed_us,activation,0,2,3.0,15.0,-3.0,15.0,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,thread_cycles,activation,0,2,6503.0,31750.0,-6503.0,31750.0,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,elapsed_us,activation,1,3,3.5,17.2,-3.5,17.2,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,thread_cycles,activation,1,3,7237.0,36304.0,-7237.0,36304.0,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,elapsed_us,build,0,1,2.4000000000000004,-2.2,2.4000000000000004,2.2,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,thread_cycles,build,0,1,5150.0,-4839.0,5150.0,4839.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,elapsed_us,build,2,3,2.6,-2.9000000000000004,2.6,2.9000000000000004,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,thread_cycles,build,2,3,5679.0,-6024.0,5679.0,6024.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,elapsed_us,build,0,1,9.7,-9.8,9.7,9.8,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,thread_cycles,build,0,1,20564.0,-20752.0,20564.0,20752.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,elapsed_us,build,2,3,9.65,-10.3,9.65,10.3,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,thread_cycles,build,2,3,20545.5,-21763.5,20545.5,21763.5,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,elapsed_us,build,0,1,1.2000000000000002,-1.0,1.2000000000000002,1.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,thread_cycles,build,0,1,2670.0,-2170.0,2670.0,2170.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,elapsed_us,build,2,3,1.1500000000000001,-1.1500000000000001,1.1500000000000001,1.1500000000000001,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,thread_cycles,build,2,3,2500.0,-2431.5,2500.0,2431.5,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,elapsed_us,build,0,1,11.650000000000002,-11.9,11.650000000000002,11.9,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,thread_cycles,build,0,1,24641.5,-25023.0,24641.5,25023.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,elapsed_us,build,2,3,11.25,-12.3,11.25,12.3,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,thread_cycles,build,2,3,23864.0,-25977.0,23864.0,25977.0,True,True
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,SetActive,elapsed_us,activation,0,2,3.8500000000000005,17.9,-3.8500000000000005,17.9,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,SetActive,thread_cycles,activation,0,2,8158.0,37749.5,-8158.0,37749.5,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,SetActive,elapsed_us,activation,1,3,3.8000000000000003,17.15,-3.8000000000000003,17.15,False,False
player01-a923265f,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,SetActive,thread_cycles,activation,1,3,7843.0,36255.0,-7843.0,36255.0,False,False
