case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,1,1,2,0,10,newRoot+,67,14587,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,11,newRoot-,25,5661,1,10000000,1,1,1,1,1,1,1
box,0,1,2,0,0,0,buildtotal,590,126424,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,1,objects+,227,48123,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,2,objects-,97,20847,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,3,colliders+,39,8706,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,4,colliders-,12,2705,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,5,publishtotal,438,92422,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,6,SetActive+,146,31183,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,7,SetActive-,133,28545,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,8,BuildSide+,283,59469,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,9,BuildSide-,117,24611,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,10,newRoot+,78,16796,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,11,newRoot-,31,6865,1,10000000,1,1,1,0,1,1,1
box,0,1,3,3,0,0,buildtotal,626,131936,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,1,objects+,89,18951,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,2,objects-,264,55958,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,3,colliders+,11,2646,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,4,colliders-,36,7984,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,5,publishtotal,555,117372,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,6,SetActive+,281,59685,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,7,SetActive-,42,9216,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,8,BuildSide+,107,22580,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,9,BuildSide-,316,66429,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,10,newRoot+,25,5594,1,10000000,1,1,0,1,1,1,1
box,0,1,3,3,0,11,newRoot-,94,20283,1,10000000,1,1,0,1,1,1,1
box,0,2,0,2,0,0,buildtotal,539,114281,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,1,objects+,208,44024,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,2,objects-,89,19050,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,3,colliders+,23,5272,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,4,colliders-,13,2972,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,5,publishtotal,447,94273,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,6,SetActive+,241,51370,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,7,SetActive-,38,8487,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,8,BuildSide+,244,51462,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,9,BuildSide-,110,23020,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,10,newRoot+,73,15860,1,10000000,1,1,1,1,1,1,1
box,0,2,0,2,0,11,newRoot-,24,5543,1,10000000,1,1,1,1,1,1,1
box,0,2,1,3,0,0,buildtotal,558,118187,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,1,objects+,88,18822,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,2,objects-,215,45606,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,3,colliders+,12,2850,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,4,colliders-,27,5982,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,5,publishtotal,457,96387,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,6,SetActive+,229,48648,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,7,SetActive-,40,8639,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,8,BuildSide+,108,22653,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,9,BuildSide-,254,53498,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,10,newRoot+,27,5952,1,10000000,1,1,0,1,1,1,1
box,0,2,1,3,0,11,newRoot-,63,13783,1,10000000,1,1,0,1,1,1,1
box,0,2,2,1,0,0,buildtotal,528,112738,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,1,objects+,84,18014,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,2,objects-,207,44159,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,3,colliders+,12,2809,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,4,colliders-,26,5873,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,5,publishtotal,405,85481,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,6,SetActive+,139,29901,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,7,SetActive-,115,24786,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,8,BuildSide+,104,21829,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,9,BuildSide-,248,52057,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,10,newRoot+,26,5785,1,10000000,1,1,0,0,1,1,1
box,0,2,2,1,0,11,newRoot-,67,14592,1,10000000,1,1,0,0,1,1,1
box,0,2,3,0,0,0,buildtotal,532,113565,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,1,objects+,210,44722,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,2,objects-,83,17692,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,3,colliders+,23,5130,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,4,colliders-,11,2638,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,5,publishtotal,423,89202,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,6,SetActive+,136,29108,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,7,SetActive-,114,24528,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,8,BuildSide+,247,51973,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,9,BuildSide-,101,21335,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,10,newRoot+,58,12760,1,10000000,1,1,1,0,1,1,1
box,0,2,3,0,0,11,newRoot-,23,5160,1,10000000,1,1,1,0,1,1,1
box,0,3,0,3,0,0,buildtotal,593,125866,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,1,objects+,85,18005,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,2,objects-,237,50387,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,3,colliders+,11,2477,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,4,colliders-,31,6859,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,5,publishtotal,453,95428,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,6,SetActive+,235,49950,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,7,SetActive-,39,8588,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,8,BuildSide+,102,21427,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,9,BuildSide-,282,59414,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,10,newRoot+,26,5685,1,10000000,1,1,0,1,1,1,1
box,0,3,0,3,0,11,newRoot-,64,13950,1,10000000,1,1,0,1,1,1,1
box,0,3,1,0,0,0,buildtotal,593,125480,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,1,objects+,230,48978,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,2,objects-,88,18693,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,3,colliders+,29,6401,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,4,colliders-,12,2950,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,5,publishtotal,430,90741,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,6,SetActive+,131,28170,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,7,SetActive-,120,25766,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,8,BuildSide+,273,57478,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,9,BuildSide-,107,22632,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,10,newRoot+,75,16202,1,10000000,1,1,1,0,1,1,1
box,0,3,1,0,0,11,newRoot-,28,6194,1,10000000,1,1,1,0,1,1,1
box,0,3,2,2,0,0,buildtotal,524,110953,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,1,objects+,204,43358,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,2,objects-,89,18947,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,3,colliders+,27,5963,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,4,colliders-,13,3015,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,5,publishtotal,435,91946,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,6,SetActive+,238,50572,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,7,SetActive-,38,8466,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,8,BuildSide+,248,52203,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,9,BuildSide-,109,22957,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,10,newRoot+,62,13455,1,10000000,1,1,1,1,1,1,1
box,0,3,2,2,0,11,newRoot-,24,5362,1,10000000,1,1,1,1,1,1,1
box,0,3,3,1,0,0,buildtotal,514,108564,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,1,objects+,84,17887,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,2,objects-,199,42344,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,3,colliders+,11,2649,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,4,colliders-,28,6150,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,5,publishtotal,415,87486,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,6,SetActive+,137,29387,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,7,SetActive-,121,26050,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,8,BuildSide+,102,21509,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,9,BuildSide-,245,51378,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,10,newRoot+,27,5942,1,10000000,1,1,0,0,1,1,1
box,0,3,3,1,0,11,newRoot-,63,13667,1,10000000,1,1,0,0,1,1,1
box,0,4,0,0,0,0,buildtotal,572,121453,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,1,objects+,219,46517,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,2,objects-,84,17855,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,3,colliders+,27,5861,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,4,colliders-,11,2646,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,5,publishtotal,424,89442,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,6,SetActive+,142,30234,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,7,SetActive-,123,26426,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,8,BuildSide+,260,54604,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,9,BuildSide-,102,21543,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,10,newRoot+,62,13589,1,10000000,1,1,1,0,1,1,1
box,0,4,0,0,0,11,newRoot-,24,5278,1,10000000,1,1,1,0,1,1,1
box,0,4,1,1,0,0,buildtotal,645,136956,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,1,objects+,87,18390,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,2,objects-,242,51201,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,3,colliders+,16,3708,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,4,colliders-,26,5875,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,5,publishtotal,465,98155,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,6,SetActive+,148,31659,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,7,SetActive-,137,29192,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,8,BuildSide+,110,23077,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,9,BuildSide-,281,59287,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,10,newRoot+,25,5701,1,10000000,1,1,0,0,1,1,1
box,0,4,1,1,0,11,newRoot-,81,17484,1,10000000,1,1,0,0,1,1,1
box,0,4,2,3,0,0,buildtotal,533,112946,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,1,objects+,87,18680,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,2,objects-,209,44567,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,3,colliders+,11,2676,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,4,colliders-,25,5512,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,5,publishtotal,415,87562,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,6,SetActive+,217,46162,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,7,SetActive-,38,8266,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,8,BuildSide+,106,22363,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,9,BuildSide-,247,51958,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,10,newRoot+,24,5435,1,10000000,1,1,0,1,1,1,1
box,0,4,2,3,0,11,newRoot-,67,14463,1,10000000,1,1,0,1,1,1,1
box,0,4,3,2,0,0,buildtotal,581,122840,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,1,objects+,232,49250,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,2,objects-,88,18747,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,3,colliders+,24,5526,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,4,colliders-,10,2440,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,5,publishtotal,435,91691,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,6,SetActive+,229,48881,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,7,SetActive-,37,8270,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,8,BuildSide+,272,57299,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,9,BuildSide-,105,22188,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,10,newRoot+,86,18558,1,10000000,1,1,1,1,1,1,1
box,0,4,3,2,0,11,newRoot-,27,6007,1,10000000,1,1,1,1,1,1,1
box,0,5,0,1,0,0,buildtotal,596,126893,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,1,objects+,87,18580,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,2,objects-,228,48477,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,3,colliders+,11,2809,1,10000000,1,1,0,0,1,1,1
