case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
character,0,2,1,3,0,1,objects+,74,15825,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,2,objects-,163,34717,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,3,colliders+,120,25598,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,4,colliders-,84,18199,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,5,publishtotal,617,130279,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,6,SetActive+,334,70744,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,7,SetActive-,116,24695,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,8,BuildSide+,201,42348,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,9,BuildSide-,261,54933,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,10,newRoot+,26,5804,1,10000000,15,9,0,1,1,1,1
character,0,2,1,3,0,11,newRoot-,49,10764,1,10000000,15,9,0,1,1,1,1
character,0,2,2,1,0,0,buildtotal,650,137552,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,1,objects+,88,18553,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,2,objects-,152,32405,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,3,colliders+,132,28227,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,4,colliders-,87,18698,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,5,publishtotal,626,132083,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,6,SetActive+,271,57733,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,7,SetActive-,182,38922,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,8,BuildSide+,227,47694,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,9,BuildSide-,252,53135,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,10,newRoot+,24,5461,1,10000000,15,9,0,0,1,1,1
character,0,2,2,1,0,11,newRoot-,44,9598,1,10000000,15,9,0,0,1,1,1
character,0,2,3,0,0,0,buildtotal,696,147200,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,1,objects+,180,38118,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,2,objects-,67,14429,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,3,colliders+,135,28677,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,4,colliders-,73,15795,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,5,publishtotal,654,137858,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,6,SetActive+,270,57249,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,7,SetActive-,192,41040,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,8,BuildSide+,332,69937,1,10000000,15,9,1,0,1,1,1
character,0,2,3,0,0,9,BuildSide-,148,31115,1,10000000,15,9,1,0,1,1,1
